Ind	Poids	Pression	Hues	Huefond	Lchair	ethylene	IR	AT	Glucose	Fructose	Malique
GoMo-B044	0.0662741593513026	69.2852499999998	64.4814516689602	73.10757505702	232304.374490218	2.87507792416515	13.2247597963917	13.2247597963917	1.26994135678916	0.745396124000001	9.55351408095995
GoMo-B045	0.0661616593513026	56.0987499999999	52.2443774821319	80.4102359786411	219196.412504437	2.36640757803188	17.7747597963917	17.7747597963917	1.49514900343065	0.934925371	8.22145938045995
GoMo-C001	0.0450666593513024	60.2662499999999	62.4939147946073	71.8079341932984	178063.176793086	3.18763991026138	18.7562724014337	18.7562724014337	1.26654889404239	0.962487660000004	8.24778105984229
GoMo-C002	0.0584827357401913	92.632	61.8456132390551	69.5781035341842	273012.105396078	1.8911211186812			NA		
GoMo-C003	0.0568354093513026	70.8824999999999	56.1282881654252	80.5154910137247	247539.91039093	2.83248989636094	16.5747597963917	16.5747597963917	1.39788011200427	1.2113623165	7.34915173645997
GoMo-C004	0.0595754093513023	58.8487500000001	52.4979368181066	80.3935181606652	249295.423205461	2.35123211924439	14.0562724014337	14.0562724014337	1.21386877668057	0.785854616999998	7.89699165884227
GoMo-C005	0.0662916593513026	64.4024999999999	58.7111721108588	70.6313158634236	201546.368302344	3.01628606252135	13.6562724014337	13.6562724014337	1.23778074270042	0.632295719999998	9.76936965384235
GoMo-C006	0.0586874926846358	105.280333333333	66.1412889018225	70.9808906501478	289376.169085481	1.78375894296792	14.5562724014337	14.5562724014337	1.3156593198849	0.840751731000002	7.00461383984227
GoMo-C007	0.0689304093513025	62.8212499999999	62.3294072306582	69.0198599965681	204090.062943375	1.9299090555878	12.1747597963917	12.1747597963917	1.22212936752948	0.686066678500001	8.23179650495997
GoMo-C009	0.0639791593513028	91.3526249999997	70.2717759777463	80.7507715932479	261987.716198741	2.80736339674397	13.1562724014337	13.1562724014337	1.2745000039231	0.499800079999998	8.72321704084227
GoMo-C010	0.0485716593513024	87.6375	71.9456533672562	81.7728131182435	287548.227201172	3.18946581829315	16.9247597963917	16.9247597963917	1.38294916424596	0.989749273500001	9.50730745595992
GoMo-C011	0.0404916593513024	70.43875	62.343562688446	73.5698827816115	184840.63333143	3.69003598702349	13.2247597963917	13.2247597963917	1.2223098615707	0.59488189	5.51845965195999
GoMo-C012	0.0455866593513025	82.9721249999998	54.5586687022322	68.8931410672973	233222.518413844	1.87995657887336	12.2247597963917	12.2247597963917	1.33752212853803	0.916543920999999	9.35781882095995
GoMo-C014	0.0674166593513026	60.3999999999999	61.8141202769735	70.2680924150386	207351.111494242	2.43673110158994	13.8247597963917	13.8247597963917	1.42003103882181	0.896743027999999	7.62719195745994
GoMo-C016	0.0504279093513027	60.7098750000002	64.2753677251342	77.42756386979	201437.392945852	2.97237520465876	11.8247597963917	11.8247597963917	1.07135027731785	0.449894814000001	5.26663123345996
GoMo-C017	0.0688416593513024	73.7762499999999	56.8401056239391	70.0608970992017	232196.650524563	2.63730414658343	13.2247597963917	13.2247597963917	1.18280610549159	0.7022190895	8.87080916695994
GoMo-C018	0.0849591593513022	51.8440000000001	69.1003864913755	84.4969314943382	317430.858840063	2.52724153885857	12.1247597963917	12.1247597963917	1.2097580976774	0.555391081499999	10.3558894304599
GoMo-C020	0.0644729093513026	59.5331249999999	60.6341669277672	69.6336006574316	249077.987211304	3.20776122686527	14.0247597963917	14.0247597963917	1.26165000540483	0.5187548365	8.58748873995993
GoMo-C021	0.0735666593513022	50.6975	59.4568738346166	69.3539074414355	174256.476958821	1.73962506172794	11.4562724014337	11.4562724014337	1.07408441893549	0.564555719000001	5.84514076284231
GoMo-C022	0.0631691593513027	58.9956249999999	64.582892737281	83.6877593498984	248943.260038281	3.36379294145534	13.3747597963917	13.3747597963917	1.23706776055918	0.568109828	6.82341170945993
GoMo-C023	0.0536041593513021	72.2175000000001	75.4825615346788	83.1510469388005	252461.569148508	3.894499437369	12.9562724014337	12.9562724014337	1.11400031014358	0.729998052999999	7.65175255884233
GoMo-C024	0.0412229093513022	54.83125	61.020874581165	69.2026664619437	191258.352650524	2.40444837765912	15.6747597963917	15.6747597963917	1.19419306147008	0.700988923500002	10.75997335546
GoMo-C025	0.050029159351302	54.53275	64.2498324939027	76.5226018714773	176419.69169175	2.23258377706069	15.5247597963917	15.5247597963917	1.41456119750518	1.1786420465	11.18122090046
GoMo-C026	0.0474666593513026	52.9062499999999	61.0198747610056	69.8098127228322	173802.27451668	3.44187887987105	13.9562724014337	13.9562724014337	1.15366619825667	0.459781240999999	8.82432434584231
GoMo-C027	0.0648049926846356	61.8683333333334	63.1516511244688	78.208277231571	249598.967724276	2.24391581747178	11.0562724014337	11.0562724014337	1.35754667175755	0.516021231000001	7.98542084684232
GoMo-C028	0.051327735740191	58.4435	72.1286945106649	71.5914457603649	144331.350096375	3.23410099263406			NA		
GoMo-C029	0.0762541593513027	54.045	59.9138579995191	79.3302390615255	296680.045217186	3.57280170395737	11.6562724014337	11.6562724014337	1.15055208356684	0.481370943999999	7.51158565284228
GoMo-C030	0.0510779093513022	74.5437499999999	58.4487563070439	69.0252958732564	231931.10356518	2.36964032226148	17.4247597963917	17.4247597963917	1.22301904182977	0.755116424499999	8.76230454345996
GoMo-C031	0.0512416593513026	55.8612499999999	59.5611741579057	80.9179926543547	208497.811868023	3.11428225659214	12.3247597963917	12.3247597963917	1.28799132395093	0.6544088165	6.37400933795995
GoMo-C032	0.0788116593513023	67.235346887226	60.9835374735802	79.6080765721755	278963.700100953	1.89039686235514	12.4747597963917	12.4747597963917	1.22535244195987	0.6892448485	9.90386488245994
GoMo-C034	0.0470241593513024	66.776125	55.5154650892783	78.4935779755446	230388.542312195	1.937783478031	13.7247597963917	13.7247597963917	1.36826739660331	0.8874342605	7.25226518595996
GoMo-C035	0.0618816593513023	58.9768749999999	65.9836683707674	82.6189422444925	232288.086121438	1.74444122117609	13.5247597963917	13.5247597963917	1.39223683777448	0.7307918895	8.91119849145993
GoMo-C036	0.0703166593513025	70.5054511418909	57.6930133862652	79.4544954527444	245140.042055289	2.20290133735227	11.6747597963917	11.6747597963917	1.21901298754134	0.7158873705	7.55741896145997
GoMo-C037					NA	NA			NA		
GoMo-C038	0.0648041593513026	61.4962499999999	67.3523191370612	75.0745664905178	218344.423789477	3.29803567850265	11.4562724014337	11.4562724014337	1.03614878950853	0.399480674999999	9.20603846484229
GoMo-C040	0.0446904093513024	59.0415	64.7108445307942	77.0114428436413	221883.191184712	2.8555458438544	17.2247597963917	17.2247597963917	1.45242472377233	1.043187386	8.49415403195993
GoMo-C041	0.0738202357401912	58.48275	67.1356947144966	84.7863988729153	226479.035483875	3.33163027702409			NA		
GoMo-C042	0.0679666593513025	78.1762499999999	70.9492123225143	84.6239518953505	274712.522282226	2.32553361283405	13.0562724014337	13.0562724014337	1.16665046350653	0.704841531999999	6.03296262384233
